NAMESPACE              LAST SEEN           TYPE      REASON                  OBJECT                                           MESSAGE
preprod-laia-25-03-2026   59s                    Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff          Container created
preprod-laia-25-03-2026   58s                    Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-2cpff          Container started
preprod-laia-25-03-2026   56s                    Normal    Pulled                  Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz          Successfully pulled image "tomcruise57/rocket-ecommerce-lia-25-03-2026:latest" in 3.872s (5.252s including waiting). Image size: 1437704278 bytes.
preprod-laia-25-03-2026   55s                    Normal    Created                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz          Container created
default                   54s (x20 over 33m)     Warning   Unhealthy               Pod/netdata-parent-867c7fb8df-v5h89                     Readiness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
default                   53s (x16 over 33m)     Warning   Unhealthy               Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Readiness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
preprod-laia-25-03-2026   51s                    Normal    Started                 Pod/ecommerce-laia-25-03-2026-6c9fbc9f56-8m5bz          Container started
default                   45s (x9 over 15m)      Warning   Unhealthy               Pod/netdata-child-94jd2                                 Readiness probe failed: command timed out: "/usr/sbin/netdatacli ping" timed out after 1s
default                   10s (x3 over 12m)      Normal    Killing                 Pod/netdata-child-94jd2                                 Container netdata failed liveness probe, will be restarted
default                   10s (x4 over 12m)      Normal    Killing                 Pod/netdata-parent-867c7fb8df-v5h89                     Container netdata failed liveness probe, will be restarted
default                   10s (x4 over 12m)      Normal    Killing                 Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Container netdata failed liveness probe, will be restarted
default                   8s (x5 over 33m)       Normal    Pulling                 Pod/netdata-parent-867c7fb8df-v5h89                     Pulling image "netdata/netdata:v2.9.0"
default                   8s (x5 over 33m)       Normal    Pulling                 Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Pulling image "netdata/netdata:v2.9.0"
default                   6s (x5 over 33m)       Normal    Created                 Pod/netdata-parent-867c7fb8df-v5h89                     Container created
default                   6s                     Normal    Pulled                  Pod/netdata-parent-867c7fb8df-v5h89                     Successfully pulled image "netdata/netdata:v2.9.0" in 1.667s (1.667s including waiting). Image size: 1182500567 bytes.
default                   5s                     Normal    Pulled                  Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Successfully pulled image "netdata/netdata:v2.9.0" in 1.493s (3.136s including waiting). Image size: 1182500567 bytes.
default                   5s (x5 over 33m)       Normal    Started                 Pod/netdata-parent-867c7fb8df-v5h89                     Container started
default                   5s (x4 over 33m)       Normal    Pulling                 Pod/netdata-child-94jd2                                 Pulling image "netdata/netdata:v2.9.0"
default                   4s (x5 over 33m)       Normal    Created                 Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Container created
default                   3s (x5 over 33m)       Normal    Started                 Pod/netdata-k8s-state-7d6df6d887-c8h9d                  Container started
default                   3s                     Normal    Pulled                  Pod/netdata-child-94jd2                                 Successfully pulled image "netdata/netdata:v2.9.0" in 1.49s (1.817s including waiting). Image size: 1182500567 bytes.
default                   3s (x4 over 33m)       Normal    Created                 Pod/netdata-child-94jd2                                 Container created
default                   2s (x4 over 33m)       Normal    Started                 Pod/netdata-child-94jd2                                 Container started
